Lat-Long,Nome do recurso turístico,ilha,Conselho,Freguesia,Vila,Bairro,Classificação,Cara,Descrição do produto,Elementos materiais associados,Elementos naturais associados,Acesso ao Recurso [Domínio público ou privado],Imagens do recurso,Imagens do recurso 1,Dados pendentes de interesse turístico,Singularidade que o diferencia dos demais da região,Satisfação do cliente com o recurso,Possibilidades de exploração futura,Intervenções necessárias para seu uso,Acesso ao recurso (Terra),Meio de viagem,Sinalização (Dentro do município),Sinalização (Fora do município),Sinalização (Na proximidade),Tipo de renda,Aplica (Dentro do Recurso Turístico),Aplica (Fora do Recurso Turístico),"ID",Estado de conservação,Outros Serviços Turísticos (Fora do Empreendimento Turístico da localidade mais próxima),Serviços Básicos ( Fora do Empreendimento Turístico da localidade mais próxima),Serviços de emergência (Fora do Empreendimento Turístico da localidade mais próxima),Outros Serviços Turísticos (Dentro do Recurso Turístico),Serviços básicos (Dentro do Recurso Turístico),Imagens do recurso 2,Imagens do recurso 3,Imagens do recurso 4,Serviços de emergência (Dentro do Recurso Turístico),Acesso ao recurso (Marítimo),Nível atual de uso,Acesso ao recurso (Aéreo),Meio de viagem 2
"15.058375601322416, -23.764095954038822",Baia do porto Rinção,Santiago,Santa Catarina,Santa Catarina,Achada Grande,Achada Grande,Lugares Naturais,Praias E Locais Costeiros,"Localiza-se no litoral oeste de Santa Catarina. A harmonia entre a terra e o mar, dois elementos cuja forma lhe deu o nome constitui a singularidade. Na sua proximidade existe uma praia de pequena dimensão onde os moradores locais arrastam e estacionam os seus botes após a faina piscatória. É de acesso relativamente fácil, pois está ligada à cidade de Assomada através de uma estrada asfaltada. O local de acesso a praia de momento esta a ser reabilitado, para que o acesso seja masis facil aos visitantes.

","Botes, redes, accesorios de pesca","Mar, pedras, pequena quentidade de areia preta",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/2Tgl9d53U9VpTYEu1tua.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/zXP1kYZZ3BFUbsZG4KMp.jpg,"Rincão é a maior comunidade piscatória do municipio pelo que pode ser potencializada para o turismo, com obras de requalificação, formação, saneamento.",Zona piscatoria rico em variedades de peixe.,Frequentado,Costa e banho (Praia),"Saneamente, urbanização, segurança.",true,"Veículo todo terreno,Carro comum,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,No existe,No existe,Livre,false,false,2,,,,,,,,,,,,,,
"15.278286085477442, -23.751723172812003",Arte urbana Local ,Santiago,Tarrafal,Santo Amaro Abade,Ribeira Prata,Ribeira Prata,Património Arquitectónico E Artístico,Obras De Arte Representativas,"A arte urba no tarrafal consiste em p inturas rurais de artistas conhecidos e alguns estrangeiros retratando o quatidiano de população, monumentos historicos as vivencias de cabo verde e tarrafal e na ribeira prata na conservação de biodiversidade marinha. Estas pinturas são em paredes publicas muitas vezes cedidas pela camara municipal promovendo este tipo de arte, e privadas quando as pinturas são feitas em casa habitacionais ou dentro de entabelecimentos hoteleiros e outros.","Tintas  acrilio oleo

Parte frontal de habitações e paredes publicas

",,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/hvcPOE0VXJgnTqvrEATo.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/pWSKCwzohcaVie6zLWIM.jpg,"Mais pinturas em registo de cenas quotidianas, apoiar artistas, prepara um moral de esposição, ",Ligação a tradições,Frequentado,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,Muito pouco,Muito pouco,Livre,false,true,3,bom,"Serviços de guia ,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio","Água,Sistema de esgoto,Iluminação pública","Hospital particular,Cuidados primários,Polícia",,,,,,,,,,
"15.02056619168775, -23.442190770949423",Baía dos Alcatrazes,Santiago,São Domingos,Nossa Senhora da Luz,Baía dos Alcatrazes,Baía dos Alcatrazes,Património Arquitectónico E Artístico,Legado Arqueológico," Alcatraz é um pequeno nucleo populacional situado no interior da ilha de santiago, no conselho de são domingos, com um historia rica, mas nem sempre conhecida. Ali, funcionou a capitania do norte de santiago, um dos mais antigos templos catolicos da africa subsariana. Atualmente o espaço voltou a ser alvo de escavações arqueologicos, para avaliar o estado atual do monumento e areas circundante.  Baía de Alcatrazes é um Património Histórico e Cultural Nacional. Destaca-se a Igreja da Nossa Senhora da Luz, construída por volta de 1480, no século XV, uma das primeiras igrejas edificadas em Cabo Verde. Tem um extensa baía de areia negra mais não é balneável devido às características da água e areia no seu interior que não permite o banho. É uma praia bastante degradada devido a apanha de areia que acontece ao longo dosanos. Funcionou como Porto aquando da divisão administrativa da ilha de Santiago, pelas condições de segurança e defesa na altura, facilitando o tráfego marítimo e o desembarque de matérias passando a funcionar na época como Alfândega","Patrimonios históricos, Artefatos, cerámica, metais",Mar,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/lmvccCVPrttmCWnfUlBW.jpg,,"A construção de um centro interpretativo, santuario de nossa senhora da luz (valorizar o turismo religiosa), fazenda de camarão como investimento privada.","Destaca a Igreja da Nossa Senhora da Luz, construída por volta de 1480, no século XV, uma das primeiras igrejas edificadas em Cabo Verde. O edifício ainda conserva os traços góticos na sua arquitetura, e nas paredes laterais observa-se um escudo de armas atribuída a D. João III.",Pouco frequentado,Património/cultural,Via de acesso (estrada),true,"Veículo todo terreno,Carro comum,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",No existe,No existe,No existe,Livre,false,,4,bom,,,,,,,,,,,,,
"15.207843356425276, -23.66730115576977",A Barragem do Vale Principal,Santiago,São Miguel,São Miguel Arcanjo,Vale do Principal ,Vale do Principal,Lugares Naturais,Vales," A Construção da barragem de principal foi feita com paramento em pedra argamassada, incluindo injeções no tratamento das fundações em 2019. O projeto incluiu ainda uma estrada de acesso de 3 km com pavimento em calçada, e a rede de adução. Serve para a retenção das grandes quantidades de águas derivadas das chuvas. Esta barragem é resultante de um projeto de Hidroagricola para o desenvolvimento da agricultura em periodo de secas. Na epoca de chuvas a barragem serve de ponto turistico, para observação da aguas e do imenso verde que abunda este vale. Esta barragem tambem pode servir para desenvolvimento de projetos de agroturismo, no que tange a s«oficinas de manuseio de plantas, da terra e da plantação de diversas planta.",Em estrutura de Miradouro ,"Flora, fauna, agua, paisagens naturais",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/jH76CekcWDYmvIaezZGA.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/C7ex52VY5yRmn1whE85W.jpg,"Manutenção frequente, tratamento da água da barragem, segurança, eluminação",Uma das maiores Barragem com água de Cabo verde.,Frequentado,Caminhadas,,true,"Veículo todo terreno,Carro comum,A pé,A cavalo,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi,Outro",No existe,No existe,No existe,Livre,false,true,5,bom,"Venda de artesanato,Outro","Água,Iluminação pública,Sinalização","Cuidados primários,Polícia",,,,,,,,,,
"15.263697243130842, -23.743767789751654",Campo de Concentração de Tarrafal,Santiago,Tarrafal,Santo Amaro Abade,Chão Bom,Chão Bom,Património Arquitectónico E Artístico,Assentamentos Humanos E Arquitetura Viva,"Criado em 1936, pelo decreto – lei 26:539 de 23 de abril, como um colonia para presos politicos e sociais, funcionava verdadeirmente como um campo de concentração que enclausurava todos os que opunham a ditadura salazarista e deixa-los morrer a mingua, sem as minimas condições higienicas e expostos ao sol e ao paludismo. Edificado na zona de chão bom, ao fim de uma primeira faze em 1936 a 1954, onde recebeu somente presos portugueses, passou a receber nacionalistas das colonia portuguesas. Nos seus 38 anos de funcionamento, em que serviu igualmente como prisão para presos de delito comum, além de individuos de outras nacionalidades, europeias passaram pelo campo de morte lenta, 340 portugueses, 230 africanos, entre os quais 20 caboverdianos. Fora do resinto prisional existe uma camara de tortura chamada de “frigideira ou seguedo”, que era um cubico de cimento, asfixiante de exigua dimensão com uma porta de ferro. Após 1975 passou a funcionar como quartel de formação militar. Museu da reistencia desde o ano 2000, o complexo prisional de tarrafal pelo seu valor historico-patrimonial, mormente pelo valr sentimental e carga enquanto simbolo de resistencia ao fascismo e ao colonialismo, foi recebido como patrimonio historico nacional em 2006 e almeja atingir o patrimonia mundial da humanidade. ","Murros, exemplares das fardas dos presos políticos
Réplicas de uma sela de tortura, jornais e apontamentos antigos",Plantas de sombras,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LbSTPYRlvCrcBE1l1X0b.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0RmjV0tjkL3MetpR58ON.jpg,"Reorganização das informações matériais e histórica de forma a dinamizar e disponibilizar a história de forma mais fácil, por exemplo, elaboração de placas informativos, videos, placas interpretativos, identificação das peças.",É único campo de concentração no periodo colonial.,Frequentado,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Turístico,Taxi",Muito bom,No existe,Suficiente,É necessário ingresso ou ingresso,true,true,6,aceitável,"Serviços de guia ,Serviço de táxi,Banco/caixas eletrônicos/casa de câmbio","Água,Iluminação pública,Sinalização","Cuidados primários,Polícia","Serviços de guia ,Serviços de estacionamento","Água,Iluminação pública",,,,,,,,
"14.919239383843912, -23.508637271147673",Mercado Municipal,Santiago,Praia,Nossa Senhora da Graça,Centro de Plateau,Plateau,Património Arquitectónico E Artístico,Assentamentos Humanos E Arquitetura Viva,"Localizada no coração de cidade da Praia, a sua construção remonta o seculo XIX. Podemos encontrar imagens que foram feitas em 1907, onde destaca-se o seu valor patrimonio historico. Um espaço fisico de comercialização de produtos agricolas cultivadas sobretudo na ilha de santiago e a gastronomia tipica, que proporciona uma experiência unico dos habitos citadinos. Foi requalificada em julho de 2016. Dados historicos referem que quando a cidade da Praia foi elevada a categoria de cidade, em 1858, já existia esse espaço que servia com espaço de reunião dos vendedores dos mais variados tipos de produtos.

",Multibanco,,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/hQ8t7Q8L2Vkyjzi62qZW.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/MpSp1yxntY0E0Za4KPNT.jpg,,Comercialização de produtos alimentares locais e gastronomia tipica com multisabores locais.,Frequentado,Gastronomia,,true,"Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,7,muito bom,"Serviços de guia ,Centros de interpretação,Museus,Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento",,"Hospital público,Hospital particular,Cuidados primários,Polícia",,"Água,Sistema de esgoto,Iluminação pública",,,,,,,,
"15.202334449736513, -23.638574105779252",Capela de Mato Correia,Santiago,São Miguel,São Miguel Arcanjo,Mato Correia,Mato Correia,Etnografia E Folclore,Folclore Espiritual,"De dimensão pequena, com capacidade para 100 pessoas. Essa Igreja foi feita pela comunidade local junto com a comunidade imigrante. Serve esta localidade há cerca de duas décadas, mas ainda não tem um santo padroeiro, mas, é utilizada como centro de peregrinação, onde pode disfrutar de uma linda vista sobre a maior parte de conselho de São Miguel. Mato correia é um lugar, onde o silencio reina nos ouvidos de quem o visita, juntamente com uma paisagem viva.","Altar, Santos, 
Cadeiras, quintal grande, casa de banho
","Planta ornamentais, animais no seu hábitat natural (aranhas)",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cHiIZilvKyjgbSM6KasK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0lRG7MjOBIOFDPauBc1g.jpg,,,Frequentado,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,8,bom,"Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio","Água,Iluminação pública,Sinalização",,,"Água,Iluminação pública,Sinalização",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/oGmtoWpD7D2dGXeDeYQR.jpg,,,,,,,
"15.12574178378061, -23.674921840078337",Casa da Infância de Amilcar Cabral,Santiago,Santa Catarina,Santa Catarina,Achada Falcão,Cruz Grande – entrada de Mancholi,Património Arquitectónico E Artístico,Assentamentos Humanos E Arquitetura Viva,"É uma residência onde o herói-revolucionario da história de Cabo verde, Amilcar Cabral, viveu parte da sua infância. Localizada na Zona de Achada Falcão, um pouco a Norte da cidade de Assomada. É um edifício singular, quer pela sua arquitetura da época colonial, quer pelo seu valor histórico, associado a memória do líder da libertação nacional que ali passou parte da sua infância. Atualmente é usado como alojamento de uma família, apesar da iniciativa do Instituto de Investigação e Património Cultural em reabilitá-la e transformar no “Museu dos Combatentes”. Estas e outras caraterísticas fazem dele um património cultural, logo um atrativo que deve integrar no roteiro turístico cultural nacional, apesar de necessitar de restauro",,,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/YW5LLgLCJPszMCWjb2YI.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/xPuJAfgyqkfZhcD5J7MV.jpg,Há um projeto de Requalificação da casa em um museu da resistência e um centro interpretativo.,"Casa onde um dos heróis nacionais Amilcar Cabral, passou a sua infancia",Muito pouco frequentado,Património/cultural,Resolução da pendencia de negociação dos herdeiros.,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi,Outro",No existe,No existe,No existe,,,true,9,ruim,,"Água,Iluminação pública,Sinalização","Hospital público,Polícia",,,,,,,,,,
"15.096290678294723, -23.667058405097823",Centro Cultural Norberto Tavares,Santiago,Santa Catarina,Santa Catarina,Assomada,Praça Central,Património Arquitectónico E Artístico,Assentamentos Humanos E Arquitetura Viva,"O Museu de Cultura -Norberto Tavares é um espaço de homenagem, ao falecido músico, pelo seu contributo a evolução histórica da música para a valorização da cultura nacional, mas também enquanto espaço de conhecimento e preservação das suas memórias para todas as gerações do presente e do futuro. Trata de um antigo edifício da Fazenda e repartição dos Correios, atualmente Centro Cultural Norberto Tavares, situado em pleno centro histórico, em frente da rua Gustavo Monteiro. Está bem conservado e constitui um ponto de visita para os nacionais e estrangeiros. É uma construção do estilo colonial, edificada na primeira metade do séc. XX, tendo desempenhada primeira a função residencial, serviços estais, como finanças, correios, Museu de Tabanca e atualmente Museu Norberto Tavares. A sua singularidade arquitetónica deve-se a varanda, beirais exteriores, portas grandes na frente, característicos das casas senhoriais portuguesas que vieram ser edificadas nas antigas colónias, e em Santa Catarina em particular. Com a função atual de Museu, ali se encontram os espólios de Norberto Tavares, um despertado músico cabo-verdiano que deu origem ao nome do espaço. Encontra-se também os espólios da Tabanca de Chã de Tanque, exposições de artesanatos diversos, que são referência de identidade cultural cabo-verdiana. Por se dispor de um pátio interior e de um pequeno auditório, realiza-se alguns eventos culturais: teatros, danças, musicas, mísseis, projeção de filmes e conferências. Todas estas atividades fazem com que esse espaço cultural se transforme num dos maiores atrativos do centro histórico de Assomada, portanto com potencial para o turismo cultural e de eventos.","Instrumentos musicais, artesanato
Fotográfias, ferros antigos, instrumentos musicais, pautas de musica",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ox39LyruyRo7I6oJze56.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/yfIX2ZxUGXLB80EE7sya.jpg,"Tratando de ser um edificio antigo, requer a sua conservação e preservação.
 ",,Frequentado,Património/cultural,,true,"Veículo todo terreno,Carro comum,A pé,Ônibus público,Ônibus turístico,Mini-Ônibus Público,Mini-Ônibus Turístico,Taxi,Outro",No existe,No existe,No existe,É necessário ingresso ou ingresso,true,true,10,bom,"Serviço de táxi,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio,Serviços de estacionamento","Água,Sistema de esgoto,Iluminação pública,Sinalização","Hospital particular,Cuidados primários,Polícia","Serviços de guia ,Museus,Venda de artesanato","Água,Sistema de esgoto,Iluminação pública,Sinalização",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/RDnLny0nuT8G6iw4NYkc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/e421xx70vpGKpKHfmuDv.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/4u36bzWlsGd1zKPTGBCv.jpg,,,,,
"14.915750834313274, -23.605320589755475","Centro Cultural RGS

",Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Património Arquitectónico E Artístico,Museus E Salas De Exposições,"SiItuado co coração da cidade velha é um espaço de multiplas atividades desde venda de artesanato, eventos diversos, reuniões, visita guiadas para turistas, esposição de artesanato, livros e feiras. Este espaço foi criado pela camara Municipal local, para dar apoio aos artesões exporem seu produtos, onde mostras aos turistas as diversas formas de arte de Cabo verde. Tambem é um espaço de refleção, de trocas culturais destinada a promoção e realização de enumeros eventos.","Sala de exposição de artesanato, 
Sala de leitura, com livros mesa e cadeiras",Jardim com plantas locais,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/xogXjgerrbVMkAQOUoqr.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LV95BU8xmZhP1IagHBoz.jpg,"Balção de informação turística, animação turística, atualização sinalização dos atrativos","O centro expõe artesanato dos artesães locais e a historia de Ribeira Grande de Santiago, junto com peças antigas",Frequentado,Património/cultural,Nenhuma,true,"Veículo todo terreno,Carro comum,Ônibus turístico,Taxi",Suficiente,Suficiente,Suficiente,Livre,true,true,11,bom,"Serviços de guia ,Venda de artesanato,Banco/caixas eletrônicos/casa de câmbio","Água,Iluminação pública,Sinalização","Hospital público,Polícia","Museus,Venda de artesanato","Água,Iluminação pública",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FqEQyXIMr7XS2C2qUnir.jpg,,,,,,,
