Lat-Long,Tourist resource name,island,Council,Parish,Vila,Neighborhood,Classification,Cara,Product Description,Associated material elements,Associated natural elements,Resource Access [Public or private domain],Feature Images,Feature 1 Images,Pending data of tourist interest,Uniqueness that sets it apart from others in the region,Customer satisfaction with the feature,Possibilities for future exploration,Interventions required for its use,Resource access (Land),Means of travel,Signage (Within the municipality),Signage (Outside the municipality),Signage (Nearby),Type of income,Applies (Within the Tourist Resource),Applies (Outside the Tourist Resort),ID,Conservation status,Other Tourist Services (Outside the nearest Tourist Resort),Basic Services (Outside the nearest tourist resort),Emergency services (Outside the nearest tourist resort),Other Tourist Services (Within the Tourist Resource),Basic services (Within the Tourist Resort),Feature 2 Images,Feature 3 Images,Feature 4 Images,Emergency services (Within the Tourist Resort),Access to the resource (Maritime),Current level of usage,Resource Access (Airborne),Means of travel 2
"15.058375601322416, -23.764095954038822",Rinção harbor bay,Santiago,Santa Catarina,Santa Catarina,Achada Grande,Achada Grande,Natural Places,Beaches and Coastal Locations,"It is located on the west coast of Santa Catarina. The harmony between land and sea, two elements whose shape gave it its name, constitutes its uniqueness. Nearby there is a small beach where local residents drag and park their boats after fishing. It is relatively easy to access, as it is connected to the city of Assomada via a paved road. The beach access point is currently being rehabilitated, so that access is easier for visitors.","Boats, nets, fishing accessories","Sea, stones, small amount of black sand",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/2Tgl9d53U9VpTYEu1tua.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/zXP1kYZZ3BFUbsZG4KMp.jpg,"Rincão is the largest fishing community in the municipality, so it can be boosted for tourism, with requalification, training and sanitation works.",Fishing area rich in varieties of fish.,Frequentado,Coast and bath (Beach),"Sanitation, urbanization, safety.",True,"All Terrain Vehicle,Common Car,Tourist Bus,Public Mini Bus,Tourist Mini Bus,Taxi",Enough,Does not exist,Does not exist,Book,False,False,2,,,,,,,,,,,,,,
"15.278286085477442, -23.751723172812003",Local urban art,Santiago,Tarrafal,Santo Amaro Abade,Ribeira Prata,Ribeira Prata,Architectural and Artistic Heritage,Representative Works of Art,"Urban art in Tarrafal consists of rural paintings by well-known artists and some foreign artists portraying the daily population, historical monuments and the experiences of Cape Verde and Tarrafal and Ribeira Prata in the conservation of marine biodiversity. These paintings are on public walls, often provided by the municipal council promoting this type of art, and private when the paintings are made in residential homes or within hotels and other establishments.","Oil acrylic paints

Front part of houses and public walls",,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/hvcPOE0VXJgnTqvrEATo.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/pWSKCwzohcaVie6zLWIM.jpg,"More paintings recording everyday scenes, supporting artists, preparing a moral exhibition,",Connection to traditions,Frequentado,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Does not exist,Very little,Very little,Book,False,True,3,bom,"Guide services,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange bureau","Water,Sewage system,Public lighting","Private hospital,Primary care,Police",,,,,,,,,,
"15.02056619168775, -23.442190770949423",Alcatrazes Bay,Santiago,São Domingos,Nossa Senhora da Luz,Baía dos Alcatrazes,Baía dos Alcatrazes,Architectural and Artistic Heritage,Archaeological Legacy,"Alcatraz is a small population center located in the interior of the island of Santiago, in the council of São Domingos, with a rich history, but not always known. There, the captaincy of northern Santiago operated, one of the oldest Catholic temples in sub-Saharan Africa. Currently, the space has once again become the target of archaeological excavations, to assess the current state of the monument and surrounding areas.  Alcatrazes Bay is a National Historical and Cultural Heritage Site. The Church of Nossa Senhora da Luz stands out, built around 1480, in the 15th century, one of the first churches built in Cape Verde. It has an extensive bay of black sand, but it is not bathable due to the characteristics of the water and sand inside, which does not allow swimming. It is a very degraded beach due to the collection of sand that has taken place over the years. It functioned as a Port during the administrative division of the island of Santiago, due to the security and defense conditions at the time, facilitating maritime traffic and the unloading of materials, starting to function at the time as Customs.","Historical heritage, Artifacts, ceramics, metals",Mar,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/lmvccCVPrttmCWnfUlBW.jpg,,"The construction of an interpretive center, sanctuary of Our Lady of Light (to enhance religious tourism), shrimp farm as private investment.","Highlights are the Church of Nossa Senhora da Luz, built around 1480, in the 15th century, one of the first churches built in Cape Verde. The building still retains Gothic features in its architecture, and on the side walls there is a coat of arms attributed to D. João III.",Pouco frequentado,Heritage/cultural,Access road (road),True,"All Terrain Vehicle,Common Car,Tourist Bus,Public Mini Bus,Tourist Mini Bus,Taxi",Does not exist,Does not exist,Does not exist,Book,False,,4,bom,,,,,,,,,,,,,
"15.207843356425276, -23.66730115576977",The Vale Principal Dam,Santiago,São Miguel,São Miguel Arcanjo,Vale do Principal ,Vale do Principal,Natural Places,Vales,"The construction of the main dam was carried out with mortared stone facing, including injections in the treatment of the foundations in 2019. The project also included a 3 km access road with cobbled pavement, and the adduction network. It serves to retain large amounts of water derived from rain. This dam is the result of a Hidroagricola project for the development of agriculture during periods of drought. During the rainy season, the dam serves as a tourist spot, for observing the waters and the immense greenery that abounds in this valley. This dam can also be used for the development of agritourism projects, in terms of workshops for handling plants, land and planting various plants.",In a viewpoint structure,"Flora, fauna, water, natural landscapes",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/jH76CekcWDYmvIaezZGA.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/C7ex52VY5yRmn1whE85W.jpg,"Frequent maintenance, dam water treatment, security, lighting",One of the largest dams with water in Cape Verde.,Frequentado,Hiking,,True,"All-terrain vehicle,Common car,On foot,On horseback,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi,Other",Does not exist,Does not exist,Does not exist,Book,False,True,5,bom,"Sale of crafts,Other","Water,Public lighting,Signage","Primary care,Police",,,,,,,,,,
"15.263697243130842, -23.743767789751654",Tarrafal Concentration Camp,Santiago,Tarrafal,Santo Amaro Abade,Chão Bom,Chão Bom,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"Created in 1936, by decree - law 26:539 of April 23, as a colony for political and social prisoners, it truly functioned as a concentration camp that enclosed all those who opposed the Salazar dictatorship and left them to die in poverty, without minimum hygienic conditions and exposed to the sun and malaria. Built in the area with good ground, after a first phase in 1936 to 1954, where it only received Portuguese prisoners, it began to receive nationalists from the Portuguese colonies. In its 38 years of operation, in which it also served as a prison for prisoners of common crimes, in addition to individuals of other nationalities, Europeans passed through the slow death camp, 340 Portuguese, 230 Africans, including 20 Cape Verdeans. Outside the prison there is a torture chamber called “the frying pan”, which was a small, asphyxiating cement cubicle with an iron door. After 1975 it began to function as a military training barracks. Museum of resistance since the year 2000, the Tarrafal prison complex for its historical and heritage value, especially for its sentimental value and cargo as a symbol of resistance to fascism and colonialism, was received as national historical heritage in 2006 and aims to achieve world heritage of humanity.","Punches, examples of the uniforms of political prisoners
Replicas of a torture saddle, old newspapers and notes",shadow plants,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LbSTPYRlvCrcBE1l1X0b.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0RmjV0tjkL3MetpR58ON.jpg,"Reorganization of material and historical information in order to streamline and make history more easily available, for example, preparation of informative signs, videos, interpretive signs, identification of pieces.",It is the only concentration camp in the colonial period.,Frequentado,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Mini Tourist Bus,Taxi",Very good,Does not exist,Enough,Ticket or entry required,True,True,6,acceptable,"Guide services, Taxi service, Bank/ATM/exchange office","Water,Public lighting,Signage","Primary care,Police","Guide services ,Parking services","Water,Public lighting",,,,,,,,
"14.919239383843912, -23.508637271147673",Municipal Market,Santiago,Praia,Nossa Senhora da Graça,Centro de Plateau,Plateau,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"Located in the heart of the city of Praia, its construction dates back to the 19th century. We can find images that were made in 1907, where their historical heritage value stands out. A physical space for selling agricultural products grown mainly on the island of Santiago and typical gastronomy, which provides a unique experience of city habits. It was reclassified in July 2016. Historical data shows that when the city of Praia was elevated to the category of city, in 1858, this space already existed that served as a meeting space for sellers of the most varied types of products.",ATM,,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/hQ8t7Q8L2Vkyjzi62qZW.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/MpSp1yxntY0E0Za4KPNT.jpg,,Marketing of local food products and typical cuisine with local multi-flavors.,Frequentado,Gastronomy,,True,"Ordinary car,On foot,Public bus,Tourist bus,Mini Tourist Bus,Taxi",Enough,Enough,Enough,Book,True,True,7,very good,"Guide services,Interpretation centers,Museums,Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services",,"Public hospital,Private hospital,Primary care,Police",,"Water,Sewage system,Public lighting",,,,,,,,
"15.202334449736513, -23.638574105779252",Mato Correia Chapel,Santiago,São Miguel,São Miguel Arcanjo,Mato Correia,Mato Correia,Ethnography and folklore,Spiritual Folklore,"Small in size, with capacity for 100 people. This Church was built by the local community together with the immigrant community. It has served this town for around two decades, but it still does not have a patron saint, but it is used as a pilgrimage center, where you can enjoy a beautiful view over most of São Miguel council. Mato Correia is a place where silence reigns in the ears of those who visit, along with a lively landscape.","Altar, Saints, 
Chairs, large yard, bathroom","Ornamental plants, animals in their natural habitat (spiders)",Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cHiIZilvKyjgbSM6KasK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0lRG7MjOBIOFDPauBc1g.jpg,,,Frequentado,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Enough,Enough,Enough,Book,True,True,8,bom,"Taxi service,Sale of crafts,Bank/ATMs/currency exchange","Water,Public lighting,Signage",,,"Water,Public lighting,Signage",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/oGmtoWpD7D2dGXeDeYQR.jpg,,,,,,,
"15.12574178378061, -23.674921840078337",Amilcar Cabral's Childhood Home,Santiago,Santa Catarina,Santa Catarina,Achada Falcão,Cruz Grande – entrada de Mancholi,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"It is a residence where the revolutionary hero of Cape Verde's history, Amilcar Cabral, lived part of his childhood. Located in the Achada Falcão Zone, a little north of the city of Assomada. It is a unique building, both for its colonial-era architecture and for its historical value, associated with the memory of the national liberation leader who spent part of his childhood there. It is currently used as accommodation for a family, despite the initiative of the Institute for Research and Cultural Heritage to rehabilitate it and transform it into the “Museum of Combatants”. These and other characteristics make it a cultural heritage, therefore an attraction that should be included in the national cultural tourist itinerary, despite needing restoration.",,,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/YW5LLgLCJPszMCWjb2YI.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/xPuJAfgyqkfZhcD5J7MV.jpg,There is a project to redevelop the house into a resistance museum and an interpretive center.,"House where one of the national heroes, Amilcar Cabral, spent his childhood",Muito pouco frequentado,Heritage/cultural,Resolution of the pending negotiation of the heirs.,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi,Other",Does not exist,Does not exist,Does not exist,,,True,9,roomy,,"Water,Public lighting,Signage","Public hospital, Police",,,,,,,,,,
"15.096290678294723, -23.667058405097823",Norberto Tavares Cultural Center,Santiago,Santa Catarina,Santa Catarina,Assomada,Praça Central,Architectural and Artistic Heritage,Human Settlements and Living Architecture,"The Museum of Culture -Norberto Tavares is a space of homage to the late musician, for his contribution to the historical evolution of music for the appreciation of national culture, but also as a space for knowledge and preservation of his memories for all generations of the present and of the future. It is an old building of the Treasury and Post Office, currently Centro Cultural Norberto Tavares, located in the heart of the historic center, in front of Rua Gustavo Monteiro. It is well maintained and is a visiting point for nationals and foreigners. It is a colonial style building, built in the first half of the 19th century. XX, having first performed the residential function, state services, such as finance, post office, Tabanca Museum and currently the Norberto Tavares Museum. Its architectural uniqueness is due to the balcony, exterior eaves, large doors at the front, characteristic of Portuguese manor houses that were built in the former colonies, and in Santa Catarina in particular. With its current function as a Museum, there are the collections of Norberto Tavares, an awakened Cape Verdean musician who gave rise to the name of the space. You can also find the collections of Tabanca de Chã de Tanque, exhibitions of various crafts, which are a reference to Cape Verdean cultural identity. As it has an internal courtyard and a small auditorium, some cultural events are held: theaters, dances, music, missiles, film screenings and conferences. All these activities make this cultural space one of the biggest attractions in the historic center of Assomada, therefore with potential for cultural tourism and events.","Musical instruments, crafts
Photographs, old irons, musical instruments, music staves",,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ox39LyruyRo7I6oJze56.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/yfIX2ZxUGXLB80EE7sya.jpg,"As it is an old building, it requires conservation and preservation.",,Frequentado,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi,Other",Does not exist,Does not exist,Does not exist,Ticket or entry required,True,True,10,bom,"Taxi service,Sale of crafts,Bank/ATM/currency exchange,Parking services","Water,Sewage system,Public lighting,Signage","Private hospital,Primary care,Police","Guide services, Museums, Sale of crafts","Water,Sewage system,Public lighting,Signage",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/RDnLny0nuT8G6iw4NYkc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/e421xx70vpGKpKHfmuDv.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/4u36bzWlsGd1zKPTGBCv.jpg,,,,,
"14.915750834313274, -23.605320589755475",RGS Cultural Center,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Architectural and Artistic Heritage,Museums and Exhibition Halls,"Located in the heart of the old city, it is a space for multiple activities, from handicraft sales, various events, meetings, guided tours for tourists, craft exhibitions, books and fairs. This space was created by the local municipal council, to support artisans to exhibit their products, where tourists are shown the various forms of art in Cape Verde. It is also a space for reflection, for cultural exchanges aimed at promoting and holding numerous events.","crafts exhibition room, 
Reading room, with books, table and chairs",Garden with local plants,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/xogXjgerrbVMkAQOUoqr.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LV95BU8xmZhP1IagHBoz.jpg,"Tourist information desk, tourist entertainment, updated attraction signage","The center displays crafts from local artisans and the history of Ribeira Grande de Santiago, along with antique pieces",Frequentado,Heritage/cultural,None,True,"All-terrain vehicle,Common car,Tourist bus,Taxi",Enough,Enough,Enough,Book,True,True,11,bom,"Guide services, Sale of handicrafts, Bank/ATMs/currency exchange","Water,Public lighting,Signage","Public hospital, Police","Museums,Sale of crafts","Water,Public lighting",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FqEQyXIMr7XS2C2qUnir.jpg,,,,,,,
"15.3038536354514, -23.710943337999346",Center of art and trades behind the mountains,Santiago,Tarrafal,Santo Amaro Abade,Chão Bom,Chão Bom,Ethnography and folklore,Crafts With Folklore Materials,"It stands out for the preservation and production of traditional pottery in this peaceful location behind the hills. With the practice of extracting clay by the hands of local potters, a work of art is born. Consisting of a reception, an exhibition room, a patio for the production of breadmaking and weaving pieces and small training rooms where artisans learn the art of molding clay, making earthen cloth and straw hats, basketry and the manufacture of traditional jewelry. Two houses with a cylindrical base and a cone-shaped top made of clay. We can also enjoy exhibitions with antique pieces and instruments used to confess the pieces. Located 10 minutes from the city of Tarrafal, this center is also visited by many tourists.","Associated material elements: Traditional bakery, clay products (coffee cups, pots, etc.)
Associated material elements: Loom machine",,Public,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/KSeUESIdekparXsIoPbG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/SwrM002X04drjXfBzsNB.jpg,Digital advertising and marketing,Its construction is emblematic and made of clay.,Frequentado,Heritage/cultural,,True,"All-terrain vehicle,Common car,On foot,Public bus,Tourist bus,Public mini bus,Tourist mini bus,Taxi",Very little,Does not exist,Does not exist,Book,True,True,12,acceptable,,"Water,Public lighting,Signage","Primary care,Police",Sale of crafts,"Water,Public lighting",,,,,,,,
