Lat-Long,Nombre del recurso turístico,isla,Consejo,Parroquia,Aldea,Vecindario,Clasificación,Cara,Descripción del Producto,Elementos materiales asociados,Elementos naturales asociados,Acceso a recursos [dominio público o privado],Imágenes destacadas,Imágenes de la característica 1,Dados pendentes de interesse turístico,Singularidad que lo diferencia de otros en la región,Satisfacción del cliente con la función.,Posibilidades de exploración futura,Intervenciones necesarias para su uso,Acceso a recursos (tierra),Medios de viaje,Señalización (Dentro del municipio),Señalización (Fuera del municipio),Señalización (Cerca),Tipo de renda,Aplica (Dentro do Recurso Turístico),Aplica (Fora do Recurso Turístico),IDENTIFICACIÓN,Estado de conservación,Otros Servicios Turísticos (Fuera del Complejo Turístico más cercano),Servicios Básicos (Fuera del centro turístico más cercano),Servicios de emergencia (Fuera del complejo turístico más cercano),Otros Servicios Turísticos (Dentro del Recurso Turístico),Servicios básicos (Dentro del Complejo Turístico),Imágenes de la característica 2,Característica 3 imágenes,Característica 4 imágenes,Servicios de emergencia (Dentro del Complejo Turístico),Acceso al recurso (Marítimo),Nivel actual de uso,Acceso a recursos (aerotransportado),Medios de viaje 2
"15.058375601322416, -23.764095954038822",Bahía del puerto de Rinção,Santiago,Santa Catarina,Santa Catarina,Achada Grande,Achada Grande,Lugares Naturais,Playas y zonas costeras,"Está ubicado en la costa oeste de Santa Catarina. La armonía entre la tierra y el mar, dos elementos cuya forma le dio nombre, constituye su singularidad. Cerca hay una pequeña playa donde los residentes locales arrastran y estacionan sus embarcaciones después de pescar. Es de acceso relativamente fácil, ya que está conectado con la ciudad de Assomada a través de una carretera asfaltada. Actualmente se está rehabilitando el acceso a la playa, para facilitar el acceso a los visitantes.","Botes, redes, accesorios de pesca","Mar, piedras, pequeña cantidad de arena negra.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/2Tgl9d53U9VpTYEu1tua.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/zXP1kYZZ3BFUbsZG4KMp.jpg,"Rincão es la mayor comunidad pesquera del municipio, por lo que puede ser potenciada para el turismo, con obras de recalificación, capacitación y saneamiento.",Zona de pesca rica en variedades de pescado.,Frequentado,Costa y baño (Playa),"Saneamiento, urbanización, seguridad.",Verdadero,"Vehículo todo terreno, coche común, autobús turístico, minibús público, minibús turístico, taxi",Suficiente,No existe,No existe,Libro,FALSO,FALSO,2,,,,,,,,,,,,,,
"15.278286085477442, -23.751723172812003",Arte urbana Local,Santiago,Tarrafal,Santo Amaro Abade,Ribeira Prata,Ribeira Prata,Patrimonio Arquitectónico y Artístico,Obras De Arte Representativas,"El arte urbano en Tarrafal se compone de pinturas rurales de artistas conocidos y algunos artistas extranjeros que retratan la población cotidiana, los monumentos históricos y las experiencias de Cabo Verde y Tarrafal y Ribeira Prata en la conservación de la biodiversidad marina. Estas pinturas se encuentran en paredes públicas, a menudo proporcionadas por el ayuntamiento que promueve este tipo de arte, y privadas cuando las pinturas se realizan en viviendas residenciales o dentro de hoteles y otros establecimientos.","pinturas acrílicas al óleo

Parte frontal de casas y muros públicos.",,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/hvcPOE0VXJgnTqvrEATo.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/pWSKCwzohcaVie6zLWIM.jpg,"Más pinturas que registran escenas cotidianas, apoyan a los artistas, preparan una exposición moral,",Conexión con las tradiciones,Frequentado,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",No existe,muy poco,muy poco,Libro,FALSO,Verdadero,3,bien,"Servicios de guía,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanías,Banco/ATM/Casa de cambio de moneda","Agua, Alcantarillado, Alumbrado público","Hospital privado,Atención primaria,Policía",,,,,,,,,,
"15.02056619168775, -23.442190770949423",Baía dos Alcatrazes,Santiago,São Domingos,Nossa Senhora da Luz,Baía dos Alcatrazes,Baía dos Alcatrazes,Patrimonio Arquitectónico y Artístico,Legado Arqueológico,"Alcatraz es un pequeño núcleo de población ubicado en el interior de la isla de Santiago, en el concejo de São Domingos, con una rica historia, pero no siempre conocida. Allí funcionó la capitanía del norte de Santiago, uno de los templos católicos más antiguos del África subsahariana. Actualmente, el espacio ha vuelto a ser objeto de excavaciones arqueológicas, para evaluar el estado actual del monumento y sus alrededores.  La Bahía de Alcatrazes es Patrimonio Histórico y Cultural Nacional. Destaca la Iglesia de Nossa Senhora da Luz, construida hacia 1480, en el siglo XV, una de las primeras iglesias construidas en Cabo Verde. Tiene una extensa bahía de arena negra, pero no es bañable por las características del agua y arena de su interior, que no permite el baño. Es una playa muy degradada debido a la acumulación de arena que se ha producido con el paso de los años. Funcionó como Puerto durante la división administrativa de la isla de Santiago, debido a las condiciones de seguridad y defensa de la época, facilitando el tráfico marítimo y la descarga de materiales, pasando a funcionar en su momento como Aduana.","Patrimonios históricos, Artefatos, cerámica, metais",Mar,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/lmvccCVPrttmCWnfUlBW.jpg,,"La construcción de un centro de interpretación, santuario de Nuestra Señora de la Luz (para potenciar el turismo religioso), granja camaronera como inversión privada.","Destaca la Iglesia de Nossa Senhora da Luz, construida alrededor de 1480, en el siglo XV, una de las primeras iglesias construidas en Cabo Verde. El edificio aún conserva rasgos góticos en su arquitectura, y en las paredes laterales hay un escudo atribuido a D. João III.",Pouco frequentado,Patrimonio/cultural,Camino de acceso (carretera),Verdadero,"Vehículo todo terreno, coche común, autobús turístico, minibús público, minibús turístico, taxi",No existe,No existe,No existe,Libro,FALSO,,4,bien,,,,,,,,,,,,,
"15.207843356425276, -23.66730115576977",La presa principal de Vale,Santiago,São Miguel,São Miguel Arcanjo,Vale do Principal ,Vale do Principal,Lugares Naturais,Vales,"La construcción de la presa principal se realizó con paramento de piedra mortero, incluyendo inyecciones en el tratamiento de las cimentaciones en 2019. El proyecto también incluyó un camino de acceso de 3 km con pavimento empedrado, y la red de aducción. Sirve para retener grandes cantidades de agua derivada de la lluvia. Esta presa es el resultado de un proyecto Hidroagrícola para el desarrollo de la agricultura durante periodos de sequía. Durante la temporada de lluvias, la presa sirve como punto turístico, para observar las aguas y el inmenso verdor que abunda en este valle. Esta presa también puede ser utilizada para el desarrollo de proyectos de agroturismo, en cuanto a talleres de manejo de plantas, terrenos y siembra de plantas diversas.",En una estructura de punto de vista,"Flora, fauna, agua, paisajes naturales.",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/jH76CekcWDYmvIaezZGA.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/C7ex52VY5yRmn1whE85W.jpg,"Mantenimiento frecuente, tratamiento de agua de presas, seguridad, iluminación.",Una de las presas con agua más grandes de Cabo Verde.,Frequentado,Senderismo,,Verdadero,"Vehículo todo terreno,Coche común,A pie,A caballo,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi,Otro",No existe,No existe,No existe,Libro,FALSO,Verdadero,5,bien,"Venta de artesanías,Otros","Agua, Alumbrado público, Señalización","Atención primaria, policía",,,,,,,,,,
"15.263697243130842, -23.743767789751654",Campo de concentración de Tarrafal,Santiago,Tarrafal,Santo Amaro Abade,Chão Bom,Chão Bom,Patrimonio Arquitectónico y Artístico,Asentamientos humanos y arquitectura viva,"Creada en 1936, mediante decreto - ley 26:539 del 23 de abril, como colonia de presos políticos y sociales, funcionó verdaderamente como un campo de concentración que encerraba a todos los que se oponían a la dictadura de Salazar y los dejaba morir en la pobreza, sin mínimo. condiciones higiénicas y expuestas al sol y a la malaria. Construido en una zona con buen terreno, tras una primera fase de 1936 a 1954, donde sólo recibió prisioneros portugueses, empezó a recibir nacionalistas de las colonias portuguesas. En sus 38 años de funcionamiento, en los que también sirvió como prisión para presos de delitos comunes, además de para individuos de otras nacionalidades, por el campo de muerte lenta pasaron europeos: 340 portugueses, 230 africanos, entre ellos 20 caboverdianos. Fuera de la prisión hay una cámara de tortura llamada “la sartén”, que era un pequeño cubículo de cemento asfixiante con una puerta de hierro. A partir de 1975 pasó a funcionar como cuartel de entrenamiento militar. Museo de la resistencia desde el año 2000, el complejo penitenciario de Tarrafal por su valor histórico y patrimonial, especialmente por su valor sentimental y su carga como símbolo de resistencia al fascismo y al colonialismo, fue recibido como patrimonio histórico nacional en 2006 y pretende alcanzar el patrimonio mundial. de la humanidad.","Puñetazos, ejemplos de los uniformes de los presos políticos.
Réplicas de una silla de tortura, periódicos antiguos y notas.",Plantas de sombras,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LbSTPYRlvCrcBE1l1X0b.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0RmjV0tjkL3MetpR58ON.jpg,"Reorganización de la información material e histórica con el fin de agilizar y hacer más accesible la historia, por ejemplo, elaboración de carteles informativos, videos, carteles interpretativos, identificación de piezas.",Es el único campo de concentración del período colonial.,Frequentado,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Mini Autobús Turístico,Taxi",Muy bien,No existe,Suficiente,Se requiere boleto o entrada,Verdadero,Verdadero,6,aceptable,"Servicios de guía, Servicio de taxi, Banco/ATM/oficina de cambio.","Agua, Alumbrado público, Señalización","Atención primaria, policía","Servicios de guía, Servicios de aparcamiento.","Agua, Alumbrado público",,,,,,,,
"14.919239383843912, -23.508637271147673",Mercado Municipal,Santiago,Praia,Nossa Senhora da Graça,Centro de Plateau,Plateau,Patrimonio Arquitectónico y Artístico,Asentamientos humanos y arquitectura viva,"Ubicado en el corazón de la ciudad de Praia, su construcción data del siglo XIX. Podemos encontrar imágenes que fueron realizadas en 1907, donde destaca su valor patrimonial histórico. Un espacio físico de venta de productos agrícolas cultivados principalmente en la isla de Santiago y gastronomía típica, que brinda una experiencia única de las costumbres citadinas. Fue reclasificada en julio de 2016. Los datos históricos muestran que cuando la ciudad de Praia fue elevada a la categoría de ciudad, en 1858, ya existía este espacio que servía como espacio de encuentro para vendedores de los más variados tipos de productos.",cajero automático,,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/hQ8t7Q8L2Vkyjzi62qZW.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/MpSp1yxntY0E0Za4KPNT.jpg,,Comercialización de productos alimentarios locales y cocina típica con multisabores locales.,Frequentado,Gastronomía,,Verdadero,"Coche normal, A pie, Autobús público, Autobús turístico, Mini Autobús turístico, Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,7,muy bien,"Servicios de guía,Centros de interpretación,Museos,Servicio de taxi,Venta de artesanía,Banco/ATM/cambio de moneda,Servicios de aparcamiento",,"Hospital público, Hospital privado, Atención primaria, Policía",,"Agua, Alcantarillado, Alumbrado público",,,,,,,,
"15.202334449736513, -23.638574105779252",Capilla Mato Correia,Santiago,São Miguel,São Miguel Arcanjo,Mato Correia,Mato Correia,Etnografía y folklore,Folclore Espiritual,"De dimensiones reducidas, con capacidad para 100 personas. Esta Iglesia fue construida por la comunidad local junto con la comunidad de inmigrantes. Ha servido a esta localidad durante unas dos décadas, pero aún no tiene patrón, pero se utiliza como centro de peregrinación, desde donde se puede disfrutar de una hermosa vista de gran parte del concejo de São Miguel. Mato Correia es un lugar donde reina el silencio en los oídos de quien lo visita, junto con un paisaje animado.","Altar, Santos, 
Sillas, amplio patio, baño.","Plantas ornamentales, animales en su hábitat natural (arañas)",Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/cHiIZilvKyjgbSM6KasK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/0lRG7MjOBIOFDPauBc1g.jpg,,,Frequentado,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,8,bien,"Servicio de taxi,Venta de artesanías,Banco/Cajeros automáticos/cambio de moneda","Agua, Alumbrado público, Señalización",,,"Agua, Alumbrado público, Señalización",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/oGmtoWpD7D2dGXeDeYQR.jpg,,,,,,,
"15.12574178378061, -23.674921840078337",Hogar de la infancia de Amílcar Cabral,Santiago,Santa Catarina,Santa Catarina,Achada Falcão,Cruz Grande – entrada de Mancholi,Patrimonio Arquitectónico y Artístico,Asentamientos humanos y arquitectura viva,"Es una residencia donde el héroe revolucionario de la historia de Cabo Verde, Amílcar Cabral, vivió parte de su infancia. Ubicado en la Zona de Achada Falcão, un poco al norte de la ciudad de Assomada. Se trata de un edificio singular, tanto por su arquitectura de la época colonial como por su valor histórico, asociado a la memoria del líder de la liberación nacional que pasó allí parte de su infancia. Actualmente se utiliza como alojamiento para una familia, a pesar de la iniciativa del Instituto de Investigación y Patrimonio Cultural de rehabilitarlo y transformarlo en el “Museo de los Combatientes”. Estas y otras características lo convierten en un patrimonio cultural, por lo que es un atractivo que debe incluirse en el itinerario turístico cultural nacional, a pesar de necesitar restauración.",,,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/YW5LLgLCJPszMCWjb2YI.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/xPuJAfgyqkfZhcD5J7MV.jpg,Hay un proyecto para remodelar la casa y convertirla en un museo de la resistencia y un centro de interpretación.,"Casa donde pasó su infancia uno de los héroes nacionales, Amílcar Cabral",Muito pouco frequentado,Patrimonio/cultural,Resolución de la negociación pendiente de los herederos.,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi,Otro",No existe,No existe,No existe,,,Verdadero,9,espacioso,,"Agua, Alumbrado público, Señalización","Hospital público,Polícia",,,,,,,,,,
"15.096290678294723, -23.667058405097823",Centro Cultural Norberto Tavares,Santiago,Santa Catarina,Santa Catarina,Assomada,Praça Central,Patrimonio Arquitectónico y Artístico,Asentamientos humanos y arquitectura viva,"El Museo de la Cultura -Norberto Tavares es un espacio de homenaje al fallecido músico, por su aporte a la evolución histórica de la música para la valoración de la cultura nacional, pero también como un espacio de conocimiento y preservación de su memoria para todas las generaciones de la presente y del futuro. Es un antiguo edificio de Hacienda y Correos, actualmente Centro Cultural Norberto Tavares, ubicado en pleno centro histórico, frente a la Rua Gustavo Monteiro. Está bien mantenido y es punto de visita de nacionales y extranjeros. Es una edificación de estilo colonial, construida en la primera mitad del siglo XIX. XX, habiendo desempeñado primero la función residencial, servicios estatales, como hacienda, correos, Museo de Tabanca y actualmente Museo Norberto Tavares. Su singularidad arquitectónica se debe al balcón, alero exterior y grandes puertas al frente, características de las casas solariegas portuguesas construidas en las antiguas colonias, y en Santa Catarina en particular. Con su actual función de Museo, se encuentran las colecciones de Norberto Tavares, un despierto músico caboverdiano que dio origen al nombre del espacio. También se pueden encontrar las colecciones de Tabanca de Chã de Tanque, exposiciones de diversas artesanías, que son una referencia a la identidad cultural caboverdiana. Al contar con un patio interno y un pequeño auditorio, se realizan algunos eventos culturales: teatros, danzas, música, misiles, proyecciones de películas y conferencias. Todas estas actividades hacen de este espacio cultural uno de los mayores atractivos del centro histórico de Assomada, por lo tanto con potencial para turismo cultural y eventos.","Instrumentos musicales, manualidades.
Fotografías, hierros antiguos, instrumentos musicales, pentagramas.",,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/ox39LyruyRo7I6oJze56.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/yfIX2ZxUGXLB80EE7sya.jpg,Al ser un edificio antiguo requiere conservación y preservación.,,Frequentado,Patrimonio/cultural,,Verdadero,"Vehículo todo terreno,Coche común,A pie,Autobús público,Autobús turístico,Minibús público,Minibús turístico,Taxi,Otro",No existe,No existe,No existe,Se requiere boleto o entrada,Verdadero,Verdadero,10,bien,"Servicio de taxi,Venta de artesanías,Banco/ATM/cambio de moneda,Servicios de estacionamiento","Agua, Alcantarillado, Alumbrado público, Señalización","Hospital privado,Atención primaria,Policía","Servicios de guía, Museos, Venta de artesanía.","Agua, Alcantarillado, Alumbrado público, Señalización",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/RDnLny0nuT8G6iw4NYkc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/e421xx70vpGKpKHfmuDv.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/4u36bzWlsGd1zKPTGBCv.jpg,,,,,
"14.915750834313274, -23.605320589755475",Centro Cultural RGS,Santiago,Ribeira Grande de Santiago,Santíssimo Nome de Jesus,Ribeira Grande de Santiago,Ribeira Grande de Santiago,Patrimonio Arquitectónico y Artístico,Museos y salas de exposiciones,"Ubicado en el corazón de la ciudad antigua, es un espacio para múltiples actividades, desde venta de artesanías, eventos diversos, reuniones, visitas guiadas para turistas, exposiciones de artesanía, libros y ferias. Este espacio fue creado por el consejo municipal local, para apoyar a los artesanos a exhibir sus productos, donde se muestran a los turistas las diversas formas de arte en Cabo Verde. También es un espacio de reflexión, de intercambios culturales encaminados a la promoción y celebración de numerosos eventos.","sala de exposición de artesanías, 
Sala de lectura, con libros, mesa y sillas.",Jardín con plantas locales.,Público,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/xogXjgerrbVMkAQOUoqr.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/LV95BU8xmZhP1IagHBoz.jpg,"Mostrador de información turística, entretenimiento turístico, señalización de atracciones actualizada.","El centro exhibe artesanía de artesanos locales y la historia de Ribeira Grande de Santiago, junto con piezas antiguas.",Frequentado,Patrimonio/cultural,Ninguno,Verdadero,"Vehículo todo terreno,Coche común,Autobús turístico,Taxi",Suficiente,Suficiente,Suficiente,Libro,Verdadero,Verdadero,11,bien,"Servicios de guía, Venta de artesanías, Bancos/Cajeros automáticos/cambio de moneda","Agua, Alumbrado público, Señalización","Hospital público,Polícia","Museos,Venta de artesanías","Agua, Alumbrado público",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vGSx7XE482WK3IyOQsKn/pub/FqEQyXIMr7XS2C2qUnir.jpg,,,,,,,
